
POS,LOW,HIGH,DESCRIPTION,LONG_DESCRIPTION,PARENT_POS
0,0,999,N,Nomen,-1
113,0,99,NN,normalesNomen,0
114,100,199,NE,Eigennamen,0
1,1000,1999,V,Verben,-1
135,1000,1099,VV,Verbenvoll,1
138,1000,1009,VVFIN,"finitesVerb,voll",135
139,1010,1019,VVIMP,"Imperativ,voll",135
140,1020,1029,VVINF,"Infinitiv,voll",135
141,1030,1039,VVIZU,"Infinitivmitzu,voll",135
142,1040,1049,VVPP,"PartizipPerfekt,voll",135
136,1100,1199,VA,Verbenaux,1
143,1100,1109,VAFIN,"finitesVerb,aux",136
144,1110,1119,VAIMP,"Imperativ,aux",136
145,1120,1129,VAINF,"Infinitiv,aux",136
147,1130,1139,VAPP,"PartizipPerfekt,aux",136
137,1200,1299,VM,Verbenmodal,1
148,1200,1209,VMFIN,"finitesVerb,modal",137
149,1210,1219,VMINF,"Infinitiv,modal",137
150,1220,1229,VMPP,"PartizipPerfekt,modal",137
2,2000,2999,ART,Artikel,-1
3,3000,3999,ADJ,Adjektive,-1
100,3000,3499,ADJA,attributivesAdjektiv,3
101,3500,3999,ADJD,adverbialesoderpradikativesAdjektiv,3
4,4000,4999,P,Pronomina,-1
115,4010,4019,PDS,substituierendesDemonstrativpronomen,4
116,4020,4029,PDAT,attribuierendesDemonstrativpronomen,4
117,4030,4039,PIS,substituierendesIndefinitpronomen,4
118,4040,4049,PIAT,attribuierendesIndefinitpronomenohneDeterminer,4
119,4050,4059,PIDAT,attribuierendesIndefinitpronomenmitDeterminer,4
120,4060,4069,PPER,irreflexivesPersonalpronomen,4
121,4070,4079,PPOSS,substituierendesPossessivpronomen,4
122,4080,4089,PPOSAT,attribuierendesPossessivpronomen,4
123,4090,4099,PRELS,Relativpronomensubstituierend,4
124,4100,4109,PRELAT,Relativpronomenattribuierend,4
125,4110,4119,PRF,reflexivesPersonalpronomen,4
126,4120,4129,PWS,substituierendesInterrogativpronomen,4
127,4130,4139,PWAT,attribuierendesInterrogativpronomen,4
128,4140,4149,PWAV,adverbialesInterrogativ-oderRelativpronomen,4
129,4150,4159,PAV,Pronominaladverb,4
5,5000,5999,CARD,Kardinalzahlen,-1
6,6000,6999,ADV,Adverbien,-1
7,7000,7999,KO,Konjunktionen,-1
109,7000,7099,KOUI,unterordnendeKonjunktionmitzuundInfinitiv,7
110,7100,7199,KOUS,unterordnendeKonjunktionmitSatz,7
111,7200,7299,KON,nebenordnendeKonjunktion,7
112,7300,7399,KOKOM,"Vergleichspartikel,ohneSatz",7
8,8000,8999,AP,Adpositionen,-1
102,8000,8099,APPR,"Praposition;Zirkumpositionlinks",8
103,8100,8199,APPRART,PrapositionmitArtikel,8
104,8200,8299,APPO,Postposition,8
105,8300,8399,APZR,Zirkumpositionrechts,8
9,9000,9999,ITJ,Interjektionen,-1
10,10000,10999,PTK,Partikeln,-1
130,10000,10099,PTKZU,zuvorInfinitiv,10
131,10100,10199,PTKNEG,Negationspartikel,10
132,10200,10299,PTKVZ,abgetrennterVerbzusatz,10
133,10300,10399,PTKANT,Antwortpartikel,10
134,10400,10499,PTKA,PartikelbeiAdjektivoderAdverb,10
11,11000,11999,FM,FremdsprachlichesMaterial,-1
12,12000,12999,TRUNC,KompositionsErstglieder,-1
13,13000,13999,XY,Nichtworter,-1
14,14000,14999,"$,",Komma,-1
15,15000,15999,$.,Satzende,-1
16,16000,16999,$(,SonstigesSatzzeichen,-1

